ID;Species;Initial;Treatment;Deployment;Retrieval;Final;Dry
;;;;;;;
1745;Laminaria ochroleuca;6.410;;15.11.2024;;;
;;;;;;;
1746;Laminaria ochroleuca;3.441;prekilled;15.11.2024;;;
;;;;;;;
1747;Laminaria ochroleuca;5.034;;15.11.2024;;;
;;;;;;;
1748;Laminaria ochroleuca;7.894;;15.11.2024;;;
;;;;;;;
1749;Laminaria ochroleuca;5.559;prekilled;15.11.2024;;;
;;;;;;;
1750;Laminaria ochroleuca;5.990;prekilled;15.11.2024;;;
;;;;;;;
1751;Laminaria ochroleuca;3.813;;15.11.2024;;;
;;;;;;;
1752;Laminaria ochroleuca;3.069;;15.11.2024;;;
;;;;;;;
1753;Laminaria ochroleuca;4.296;prekilled;15.11.2024;;;
;;;;;;;
1754;Laminaria ochroleuca;5.300;;15.11.2024;;;
;;;;;;;
1755;Laminaria ochroleuca;4.197;;15.11.2024;;;
;;;;;;;
1756;Laminaria ochroleuca;3.797;prekilled;15.11.2024;;;
;;;;;;;
1757;Laminaria ochroleuca;4.547;prekilled;15.11.2024;;;
;;;;;;;
1758;Laminaria ochroleuca;8.867;prekilled;15.11.2024;;;
;;;;;;;
1759;Laminaria ochroleuca;6.435;prekilled;15.11.2024;22.11.2024;missing, small hole in the bag;
;;;;;;;
1760;Laminaria ochroleuca;6.347;prekilled;15.11.2024;;;
;;;;;;;
1761;Laminaria ochroleuca;5.350;;15.11.2024;;;
;;;;;;;
1762;Laminaria ochroleuca;4.657;;15.11.2024;;;
;;;;;;;
1763;Laminaria ochroleuca;5.958;prekilled;15.11.2024;;;
;;;;;;;
1764;Laminaria ochroleuca;4.723;prekilled;15.11.2024;;;
;;;;;;;
1765;Laminaria ochroleuca;5.029;prekilled;15.11.2024;;;
;;;;;;;
1766;Laminaria ochroleuca;3.876;prekilled;15.11.2024;;;
;;;;;;;
1767;Laminaria ochroleuca;4.268;prekilled;15.11.2024;;;
;;;;;;;
1768;Laminaria ochroleuca;4.252;prekilled;15.11.2024;;;
;;;;;;;
1769;Laminaria ochroleuca;2.936;;15.11.2024;;;
;;;;;;;
1770;Laminaria ochroleuca;2.990;prekilled;15.11.2024;;;
;;;;;;;
1771;Laminaria ochroleuca;3.422;prekilled;15.11.2024;18.11.2024;2.872;
;;;;;;;
1772;Laminaria ochroleuca;4.073;prekilled;15.11.2024;;;
;;;;;;;
1773;Laminaria ochroleuca;2.966;prekilled;15.11.2024;;;
;;;;;;;
1774;Laminaria ochroleuca;3.582;;15.11.2024;;;
;;;;;;;
1775;Laminaria ochroleuca;2.883;prekilled;15.11.2024;;;
;;;;;;;
1776;Laminaria ochroleuca;3.598;;15.11.2024;18.11.2024;3.426;
;;;;;;;
1777;Laminaria ochroleuca;6.603;;15.11.2024;;;
;;;;;;;
1778;Laminaria ochroleuca;6.338;;15.11.2024;;;
;;;;;;;
1779;Laminaria ochroleuca;4.258;;15.11.2024;;;
;;;;;;;
1780;Laminaria ochroleuca;7.509;prekilled;15.11.2024;;;
;;;;;;;
1781;Laminaria ochroleuca;5.464;prekilled;15.11.2024;;;
;;;;;;;
1782;Laminaria ochroleuca;6.448;prekilled;15.11.2024;;;
;;;;;;;
1783;Laminaria ochroleuca;4.648;prekilled;15.11.2024;;;
;;;;;;;
1784;Laminaria ochroleuca;3.860;prekilled;15.11.2024;;;
;;;;;;;
1785;Laminaria ochroleuca;3.031;;15.11.2024;;;
;;;;;;;
1786;Laminaria ochroleuca;3.681;;15.11.2024;;;
;;;;;;;
1787;Laminaria ochroleuca;3.965;;15.11.2024;;;
;;;;;;;
1788;Laminaria ochroleuca;5.862;;15.11.2024;;;
;;;;;;;
1789;Laminaria ochroleuca;5.068;;15.11.2024;;;
;;;;;;;
1790;Laminaria ochroleuca;6.690;prekilled;15.11.2024;;;
